"Date","Cases","Death"
2020-11-20,"299040, 841450, 1635264, 1372623, 1267350, 1227493, 863260, 483689, 382869","71, 135, 850, 2261, 5397, 13973, 29957, 45450, 85461"
2020-10-30,"224882, 639722, 1295431, 1085543, 1005300, 975530, 684785, 387598, 320495","58, 105, 791, 2102, 5125, 13304, 28383, 42520, 79321"
2020-10-15,"191449, 549461, 1138166, 952073, 883298, 855280, 599330, 339481, 288419","55, 100, 744, 2002, 4926, 12768, 27109, 40248, 75057"
2020-09-30,"167670, 479147, 1024119, 862131, 800354, 773656, 539887, 304644, 265481","54, 97, 708, 1920, 4782, 12352, 26066, 38320, 71435"
2020-09-15,"148098, 411641, 915683, 782997, 727667, 703766, 491466, 276830, 246380","51, 83, 680, 1868, 4601, 11887, 24985, 36583, 68294"
2020-08-31,"131752, 341603, 806390, 715319, 664237, 642759, 448560, 251513, 227082","44, 79, 636, 1789, 4395, 11340, 23563, 34392, 64275"
2020-08-15,"111358, 278621, 696437, 631339, 587670, 570615, 400079, 224244, 207802","43, 71, 589, 1686, 4148, 10746, 22275, 32202, 60554"
2020-07-31,"92105, 227130, 599683, 552294, 516429, 504889, 356016, 200361, 191114","39, 62, 555, 1593, 3936, 10233, 21156, 30533, 57522"
2020-07-15,"68941, 167687, 473360, 452451, 429268, 425863, 303609, 171868, 172506","34, 53, 507, 1445, 3619, 9377, 19443, 28211, 53751"
2020-06-30,"49733, 117784, 351169, 362142, 352877, 359094, 261487, 149956, 157303","27, 49, 460, 1318, 3317, 8703, 18117, 26417, 50878"
2020-06-15,"32791, 78124, 245711, 273896, 272135, 285400, 211668, 122424, 129699","17, 36, 365, 1073, 2728, 7330, 15057, 22161, 42217"
2020-05-30,"21870, 53980, 181531, 210218, 210191, 223914, 167968, 97753, 103866","12, 29, 282, 827, 2144, 5764, 11971, 17844, 34069"
2020-05-15,"13108, 34605, 132663, 159507, 162607, 177683, 135566, 79762, 82566","10, 25, 229, 732, 1868, 5086, 10559, 15532, 28320"
2020-04-30,"7234, 19582, 89296, 113398, 117657, 131799, 102291, 60119, 59157","9, 20, 182, 617, 1602, 4283, 8868, 12737, 22037"
2020-04-15,"3696, 9821, 52252, 69380, 71673, 81714, 64369, 36954, 30399","6, 12, 124, 446, 1081, 2786, 5703, 7753, 11419"
2020-03-30,"1106, 3276, 18775, 25811, 26050, 28752, 22633, 12120, 7600","2, 6, 48, 193, 416, 950, 1719, 2197, 2577"
2020-03-15,"118, 399, 1845, 2529, 2714, 2957, 2459, 1270, 587","0, 0, 2, 16, 35, 81, 148, 184, 177"
2020-02-28,"23, 54, 155, 156, 176, 239, 201, 128, 62","0, 0, 0, 1, 3, 5, 13, 8, 17"
2020-02-19,"17, 40, 95, 92, 84, 137, 110, 66, 27","0, 0, 0, 0, 0, 3, 7, 2, 6"
